recipe_name,time_preparation(min),calories(kcal),ingredients_list,gluten_free,egg_free,sucrose_fructose_free,low_sodium,lactose_free,recipe_url,recipe_image_url
Lasaña clásica de boloñesa de ternera,115.0,225.0,"['placas', 'salsa bechamel', 'queso emmental rallado', 'mantequilla', 'carne picada de ternera', 'cebolla', 'apio', 'zanahorias', 'vino tinto', 'caldo de carne', 'tomate pelado al natural', 'orégano seco', 'romero', 'tomillo', 'aceite de oliva', 'sal', 'pimienta']",0,0,0,0,0,https://www.lecturas.com/recetas/lasana-clasica-bolonesa-ternera_4858.html,https://content-recetas.lecturas.com/medio/2020/02/14/paso-a-paso-para-realizar-lasana-clasica-de-bolonesa-de-ternera-resultado-final_3a725eb5_800x800.jpg
Lasaña ligera de verduras y requesón,50.0,203.0,"['placas', 'calabacines', 'espinacas', 'cebolla', 'dientes de ajo', 'salsa bechamel', 'requesón', 'queso mozzarella rallado', 'albahaca', 'aceite de oliva', 'sal', 'pimienta']",0,0,0,0,0,https://www.lecturas.com/recetas/lasana-ligera-verduras-y-requeson_4859.html,https://content-recetas.lecturas.com/medio/2019/02/13/paso_a_paso_para_realizar_lasana_ligera_de_verduras_y_requeson_resultado_final_1893102a_800x800.jpg
Galets rellenos de carne y beicon con salsa de pimientos,55.0,410.0,"['galets de pasta grandes', 'carne picada de cerdo', 'carne picada de ternera', 'beicon', 'sal', 'cebolla', 'diente de ajo', 'aceite de oliva', 'pimienta', 'leche', 'mantequilla', 'harina', 'nuez moscada', 'pimienta', 'sal', 'pimientos del piquillo', 'diente de ajo', 'nata líquida', 'sal', 'aceite de oliva', 'pimienta', 'tomate', 'cebollino']",0,0,0,0,0,https://www.lecturas.com/recetas/galets-rellenos-carne-y-beicon-salsa-pimientos_4880.html,https://content-recetas.lecturas.com/medio/2018/07/19/galets-rellenos-de-carne-y-beicon-con-salsa-de-pimientos_0483bc64_800x800.jpg
Lasaña de pescado enrollada,40.0,533.0,"['placas', 'filete de merluza', 'nata líquida', 'queso blanco', 'cebolla', 'tomate triturado', 'azúcar', 'queso rallado', 'nuez moscada', 'laurel', 'aceite', 'sal', 'pimienta']",0,0,0,0,0,https://www.lecturas.com/recetas/lasana-pescado-enrollada_5013.html,https://content-recetas.lecturas.com/medio/2018/07/19/paso-a-paso-para-realizar-lasana-de-pescado-enrollada-resultado-final_6482e6ae_800x800.jpg
Tallarines con pesto de espárragos,,,"['tallarines', 'espárragos verdes', 'albahaca', 'piñones', 'queso parmesano rallado', 'diente de ajo', 'sal', 'aceite de oliva']",0,0,0,0,0,https://www.lecturas.com/recetas/tallarines-pesto-esparragos_834.html,https://content-recetas.lecturas.com/medio/2018/07/19/tallarines-con-pesto-de-esparragos_54085075_800x800.jpg
Pasta con espárragos verdes y zanahoria,35.0,473.0,"['pasta de formato corto', 'zanahorias', 'espárrago verde', 'dientes de ajo', 'harina', 'caldo de verduras o de carne', 'queso parmesano rallado', 'aceite de oliva', 'sal', 'pimienta negra']",0,0,0,0,0,https://www.lecturas.com/recetas/pasta-esparragos-verdes-y-zanahoria_929.html,https://content-recetas.lecturas.com/medio/2018/07/19/pasta-con-esparragos-verdes-y-zanahoria_885a8285_800x800.jpg
Pasta con tomate y jamón,35.0,,"['pasta', 'tomate maduros', 'jamón cocido en una loncha', 'puerro', 'cebolla', 'zanahoria', 'sal', 'pimienta negra', 'queso parmesano rallado', 'aceite de oliva', 'albahaca']",0,0,0,0,0,https://www.lecturas.com/recetas/pasta-tomate-y-jamon_1101.html,https://content-recetas.lecturas.com/medio/2018/07/19/pasta-con-tomate-y-jamon_d69043b9_800x800.jpg
Fideos a la cazuela con palometa,40.0,395.0,"['fideos', 'palometa', 'diente de ajo', 'tomate triturado', 'cebolla', 'laurel', 'perejil', 'aceite de oliva', 'pimienta negra', 'sal']",0,0,0,0,1,https://www.lecturas.com/recetas/fideos-a-cazuela-palometa_1192.html,https://content-recetas.lecturas.com/medio/2018/07/19/fideos-a-la-cazuela-con-palometa_7181446b_800x800.jpg
Pasta con aguacate y albahaca,15.0,535.0,"['macarrones integrales', 'aguacate', 'aceitunas negras', 'albahaca hojas', 'limones', 'aceite de oliva', 'queso parmesano', 'pimienta negra', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/pasta-aguacate-y-albahaca_1227.html,https://content-recetas.lecturas.com/medio/2018/07/19/pasta-con-aguacate-y-albahaca_b5c79f3e_800x800.jpg
Macarrones con verduras y mozzarella,45.0,380.0,"['macarrones', 'cebolla', 'calabacines', 'espárrago verde o blanco', 'tomates', 'queso mozzarella', 'aceite de oliva', 'sal', 'albahaca unas hojitas']",0,0,0,0,0,https://www.lecturas.com/recetas/macarrones-verduras-y-mozzarella_1249.html,https://content-recetas.lecturas.com/medio/2018/07/19/macarrones-con-verduras-y-mozzarella_d8b5d52a_800x800.jpg
Tallarines al azafrán con gambas,25.0,365.0,"['tallarines', 'leche', 'colas de gamba cocidas', 'queso parmesano', 'azafrán', 'cebollino', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/tallerines-azafran-gambas_1272.html,https://content-recetas.lecturas.com/medio/2018/07/19/tallarines-al-azafran-con-gambas_1f18372b_800x800.jpg
Tallarines al pesto con tomatitos y mozzarella,45.0,745.0,"['tallarines', 'tomates cereza', 'queso mozzarella en bolitas pequeñas', 'piñones', 'aceite de oliva', 'queso parmesano', 'sal', 'albahaca']",0,0,0,0,0,https://www.lecturas.com/recetas/tallarines-pesto-tomatitos-y-mozzarella_1396.html,https://content-recetas.lecturas.com/medio/2018/07/19/tallarines-al-pesto-con-tomatitos-y-mozarella_10ecde34_800x800.jpg
Fideos con verduras y magro,30.0,,"['fideos', 'diente de ajo', 'cebolla', 'pimiento rojo', 'pimiento verde', 'magro de cerdo adobado', 'alcachofa', 'champiñón', 'caldo de verduras', 'limón', 'cilantro', 'aceite de oliva', 'pimienta negra', 'sal']",0,0,0,0,1,https://www.lecturas.com/recetas/fideos-verduras-y-magro_1470.html,https://content-recetas.lecturas.com/medio/2018/07/19/fideos-con-verduras-y-magro_60270e78_800x800.jpg
Lasaña con salmón ahumado,25.0,,"['placas', 'cebolleta', 'puerro', 'calabacín', 'pimiento rojo', 'tomate', 'diente de ajo', 'salmón ahumado', 'leche', 'queso de cabra fresco', 'vinagre', 'orégano', 'aceite de oliva', 'pimienta negra', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/lasana-salmon-ahumado_1495.html,https://content-recetas.lecturas.com/medio/2018/07/19/lasana-con-salmon-ahumado_61f98264_800x800.jpg
Canelones Rossini de carne con paté,70.0,,"['placas', 'carne de ternera picada', 'carne de cerdo picada', 'pechugas de pollo picada', 'paté latita', 'cebollas', 'tomates', 'vino de jerez', 'brandy', 'pan', 'leche', 'queso emmental rallado', 'dientes de ajo', 'aceite de oliva', 'mantequilla', 'pimienta negra', 'sal', 'leche', 'mantequilla', 'harina', 'nuez moscada', 'pimienta negra', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/canelones-rossini-carne-pate_1503.html,https://content-recetas.lecturas.com/medio/2018/07/19/canelones-rossini-de-carne-con-pate_bf46c47c_800x800.jpg
